,Sample,<qLKSiki>,<Rc3kmmq>,<qLKSiki> + CoT,<Rc3kmmq> + CoT,<qLKSiki> MAD R1 S3,<qLKSiki> MAD R1 S5,<qLKSiki> MAD R1 S7,<qLKSiki> MAD R2 S3,<qLKSiki> MAD R2 S5,<qLKSiki> MAD R2 S7,<qLKSiki> MAD R3 S3,<qLKSiki> MAD R3 S5,<qLKSiki> MAD R3 S7,<Rc3kmmq> MAD R1 S3,<Rc3kmmq> MAD R1 S5,<Rc3kmmq> MAD R1 S7,<Rc3kmmq> MAD R2 S3,<Rc3kmmq> MAD R2 S5,<Rc3kmmq> MAD R2 S7,<Rc3kmmq> MAD R3 S3,<Rc3kmmq> MAD R3 S5,<Rc3kmmq> MAD R3 S7,Mixed-A MAD R3 S7,Mixed-B MAD R3 S7,<qLKSiki> MoA W3 L3,<qLKSiki> MoA W3 L4,<qLKSiki> MoA W3 L5,<qLKSiki> MoA W4 L3,<qLKSiki> MoA W4 L4,<qLKSiki> MoA W4 L5,<qLKSiki> MoA W5 L3,<qLKSiki> MoA W5 L4,<qLKSiki> MoA W5 L5,<Rc3kmmq> MoA W3 L3,<Rc3kmmq> MoA W3 L4,<Rc3kmmq> MoA W3 L5,<Rc3kmmq> MoA W4 L3,<Rc3kmmq> MoA W4 L4,<Rc3kmmq> MoA W4 L5,<Rc3kmmq> MoA W5 L3,<Rc3kmmq> MoA W5 L4,<Rc3kmmq> MoA W5 L5,Mixed MoA W5 L5,<qLKSiki> Reflection T1,<qLKSiki> Reflection T2,<qLKSiki> Reflection T3,<qLKSiki> Reflection T4,<qLKSiki> Reflection T5,<Rc3kmmq> Reflection T1,<Rc3kmmq> Reflection T2,<Rc3kmmq> Reflection T3,<Rc3kmmq> Reflection T4,<Rc3kmmq> Reflection T5,Mixed-A Reflection T5,Mixed-B Reflection T5
14,15,False,False,False,False,False,True,False,False,False,True,True,True,True,False,cannot decide,True,True,True,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,True,False,True,True,False,True,True,False,True,True,False,True,True,False,False,False,True,False,True,True,True
15,16,True,False,True,True,True,True,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True
16,17,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,cannot decide,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
17,18,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
18,19,False,True,False,False,False,False,False,False,False,False,False,False,False,cannot decide,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
19,20,True,False,False,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True,False,True,False,True,True,False,False,True,True,True,True,False,False,True,False,True,cannot decide,False,True,False,True,False,False,False,False,True,False,False,False
20,21,False,True,False,False,cannot decide,cannot decide,cannot decide,False,cannot decide,cannot decide,False,False,False,False,False,False,False,cannot decide,False,False,False,False,False,True,False,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False
21,22,False,False,False,False,False,False,False,False,cannot decide,False,False,False,False,False,False,cannot decide,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,True,False,False
22,23,True,True,False,False,True,True,True,True,False,True,True,True,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,True,True,True,False,True,False,False,True,False,False,True,False,False,False,True,True,True,True,True,True,False,False,False,True,False,True,False
23,24,False,True,True,True,False,True,True,True,False,False,True,False,True,False,cannot decide,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,True,False,True,True,False,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False
24,25,False,False,False,False,False,False,False,False,False,False,False,False,False,False,cannot decide,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
25,26,False,False,False,False,False,False,cannot decide,True,True,True,False,True,True,False,False,False,False,False,False,cannot decide,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,False,False,False,False,False,False,False,True,True,False,True,False,True
26,27,False,False,False,False,False,True,False,False,False,False,True,True,True,False,False,False,True,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,True,True,False,True,False,False,False,False,False,False,True
27,28,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,cannot decide,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
28,29,True,True,False,True,True,True,True,True,True,True,True,True,True,cannot decide,True,True,True,False,True,True,False,True,True,True,False,False,False,True,True,False,True,True,False,False,True,True,True,False,True,False,False,True,True,True,False,True,True,True,False,False,False,False,False,True,True
29,30,False,True,False,False,False,False,False,False,False,False,False,False,False,cannot decide,False,True,False,False,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
30,31,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
31,32,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False
32,33,False,False,True,True,True,True,True,True,True,True,True,True,True,False,cannot decide,True,False,cannot decide,True,False,True,False,True,True,False,True,True,True,True,True,True,False,True,True,False,False,False,False,False,True,False,False,True,True,True,True,True,True,True,True,True,True,True,False,True
33,34,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
34,35,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,True,False,True,True,False,True,True,False,True,False,False,False,True,False,False,False,False,False,True,True,False,True,True,True,True,False,True,False,False,False,False,False,True,False,True,True,False,False,False
35,36,False,False,False,False,False,False,False,False,False,False,False,False,False,False,cannot decide,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
36,37,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
37,38,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False
38,39,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,True,False,False,True,False,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,False,False,True,True,True,True,True,False,False,False,True
39,40,True,False,True,False,True,True,True,True,True,True,True,True,True,cannot decide,cannot decide,False,False,cannot decide,True,False,False,cannot decide,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False,True,False,False,True,False,True,True,True,True,True,False,True,True,False,False,False,True
40,41,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
41,42,False,True,False,True,False,cannot decide,False,True,False,False,True,False,False,cannot decide,False,True,True,True,True,True,True,True,True,cannot decide,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,True,True,True,False,False,False,False,False,True,True,True,False,True,False,True
42,43,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,cannot decide,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
43,44,False,False,False,False,False,False,False,False,cannot decide,True,False,True,True,True,False,False,False,False,True,False,True,True,False,False,True,False,True,False,False,False,True,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,True,False,False,False,False,False,False,True,True
44,45,False,True,True,False,True,False,True,False,True,cannot decide,True,True,cannot decide,False,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,True,True,True,True,False,False,False,False,False,False,True
45,46,False,True,False,False,False,False,False,False,False,cannot decide,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True
46,47,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
47,48,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
48,49,True,False,False,False,False,cannot decide,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,cannot decide,False,True,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,True
49,50,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,cannot decide,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
50,51,True,True,True,False,True,True,True,False,False,True,False,True,True,cannot decide,False,True,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,True
51,52,False,False,False,True,cannot decide,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,cannot decide,True,False,True,True,False,True,True,False,True,False,True,True,True,True,True,False,True,True,True,False,False,True,False,False,False,True,False,True,True,True,True,False
52,53,False,True,False,False,cannot decide,False,False,False,False,False,False,False,False,False,cannot decide,False,False,False,cannot decide,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
53,54,False,True,False,True,True,False,False,False,False,False,True,False,False,cannot decide,True,True,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,True,False,False
54,55,True,True,True,False,False,True,True,False,True,True,False,True,True,True,cannot decide,False,True,cannot decide,True,False,True,False,False,False,False,True,True,True,True,True,True,False,True,False,False,False,True,False,False,True,True,False,True,True,False,True,True,True,True,True,False,False,True,False,True
55,56,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,True
56,57,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
57,58,True,False,False,True,True,True,True,True,True,True,cannot decide,True,True,cannot decide,cannot decide,True,False,False,True,False,True,False,cannot decide,True,False,True,True,True,True,True,True,True,True,True,False,False,False,True,True,False,False,False,False,True,False,True,False,True,False,False,True,False,False,True,False
58,59,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,False,True,False,False,True,False,False,True,True,True,False,True,False,True,False,True,True,False,False,True
59,60,False,False,True,True,True,True,True,True,True,False,True,True,True,False,False,False,False,False,False,True,False,True,True,True,True,True,True,True,True,True,False,False,True,True,True,False,False,True,True,True,True,False,True,True,True,False,True,True,False,False,True,True,False,False,True
60,61,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
61,62,True,False,True,False,True,True,True,False,True,True,True,True,True,False,False,False,False,cannot decide,False,True,True,False,True,True,True,True,True,True,True,False,True,True,True,False,True,False,True,True,True,False,False,True,False,True,True,False,True,False,False,False,True,False,False,False,False
62,63,False,False,False,False,False,False,False,False,False,False,False,False,False,cannot decide,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False
63,64,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True
64,65,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,cannot decide,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
65,66,True,False,False,True,True,True,False,False,True,True,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,cannot decide,False,False,False,False,True,True,False,False,True,False,False,False,False,True,True
66,67,False,True,False,False,False,cannot decide,False,False,False,False,True,False,False,False,cannot decide,True,cannot decide,cannot decide,cannot decide,True,False,False,False,False,False,False,False,False,False,False,cannot decide,False,False,True,False,False,True,True,cannot decide,False,False,cannot decide,False,False,False,False,False,False,False,True,False,False,False,False,False
67,68,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
68,69,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,cannot decide,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True
69,70,False,True,False,False,True,False,True,True,False,True,False,True,False,True,True,True,False,False,True,False,True,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,True,False,True,False,True,True,False,False,True,False,True,True,True,False,True,False,False,True
70,71,True,False,False,False,True,True,True,True,True,True,True,False,True,False,cannot decide,True,False,cannot decide,False,False,False,False,False,cannot decide,True,True,True,True,False,False,False,cannot decide,True,False,True,False,False,False,False,False,False,False,False,True,False,True,True,True,False,True,False,False,False,False,True
71,72,False,True,False,False,False,False,False,False,False,False,cannot decide,False,False,cannot decide,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False
72,73,False,False,False,False,False,False,False,False,False,False,False,False,True,cannot decide,cannot decide,False,False,False,cannot decide,cannot decide,False,cannot decide,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
73,74,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
74,75,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,True,True,False,False
75,76,False,False,True,False,True,cannot decide,True,True,cannot decide,False,True,True,False,True,False,cannot decide,True,False,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False,True,True,False,False,False,True
76,77,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
77,78,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False,cannot decide,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,cannot decide,False,False,False,False,True,False,False,False,False,True,False,False,True,False
78,79,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,cannot decide,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False
79,80,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
80,81,False,False,False,False,True,True,False,True,True,True,True,False,False,False,cannot decide,True,True,cannot decide,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,True,False,False,True,True,True,False,False,False
81,82,False,True,False,False,False,False,False,False,False,False,True,False,False,True,True,True,False,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,True,False,False,False,cannot decide,False,False,False,False,False,True,True,True,True,False,False,False
82,83,False,False,False,False,True,False,False,True,True,True,True,False,False,False,False,True,False,True,False,True,True,False,True,False,False,False,True,False,False,False,False,True,False,True,True,False,cannot decide,False,False,False,False,True,False,True,False,False,True,False,True,True,False,False,True,True,True
83,84,False,False,False,False,False,False,False,False,cannot decide,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
84,85,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True
85,86,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,cannot decide,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,False,True,True,True,True
86,87,True,False,True,False,True,True,True,cannot decide,False,True,True,True,False,False,False,False,True,False,False,True,True,False,cannot decide,True,False,True,True,True,True,False,True,False,True,False,False,False,False,False,False,False,True,True,True,False,True,False,False,True,False,False,True,False,False,True,True
87,88,False,False,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,cannot decide,True,True,True,True,True,True,False,False,True,False,True,False,True,False,True,False,False,False,True,True,True,True,True,False,True,False,True,True,False,False,True,False,True,True,False,True,True
88,89,True,False,True,False,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,True,False,cannot decide,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False
89,90,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
90,91,True,True,True,True,False,False,True,True,True,True,True,True,True,cannot decide,False,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,False,True,False,False,True,False,True,True,True,False,True,True,False,False,True,True,False,False,False
91,92,False,True,True,True,True,True,True,True,True,False,True,True,cannot decide,True,True,True,True,False,False,True,False,True,True,True,False,True,False,True,True,False,True,False,True,False,True,True,True,False,True,False,True,True,False,True,True,False,False,True,False,True,False,True,False,True,True
92,93,True,True,True,True,False,False,True,False,True,False,False,False,True,False,True,True,False,False,True,True,False,False,False,False,False,True,True,True,True,True,True,True,True,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False
93,94,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
94,95,False,False,True,False,False,True,False,False,True,False,False,True,True,True,False,True,False,True,True,False,True,False,True,True,False,False,True,True,True,cannot decide,True,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,True,True,False,False
95,96,True,False,False,False,True,True,True,True,True,True,False,False,True,False,True,cannot decide,False,False,True,False,True,True,True,True,False,False,False,False,False,False,False,False,True,True,False,False,True,True,False,True,False,True,True,False,False,True,False,True,True,False,True,False,True,True,True
96,97,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,False,False,False,False,False,True,True,True,True,False,False,True,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True
97,98,False,False,False,True,True,False,True,False,False,False,False,False,False,True,True,True,False,True,True,False,True,True,cannot decide,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True,False,True,False,False,False,True,True,True,True,True,False,False,True,True,True,True
98,99,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,cannot decide,cannot decide,cannot decide,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
99,100,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
