question_type,<Rc3kmmq>,<Rc3kmmq> + CoT,<Rc3kmmq> MAD R1 S3,<Rc3kmmq> MAD R1 S5,<Rc3kmmq> MAD R1 S7,<Rc3kmmq> MAD R2 S3,<Rc3kmmq> MAD R2 S5,<Rc3kmmq> MAD R2 S7,<Rc3kmmq> MAD R3 S3,<Rc3kmmq> MAD R3 S5,<Rc3kmmq> MAD R3 S7,<Rc3kmmq> MoA W3 L3,<Rc3kmmq> MoA W3 L4,<Rc3kmmq> MoA W3 L5,<Rc3kmmq> MoA W4 L3,<Rc3kmmq> MoA W4 L4,<Rc3kmmq> MoA W4 L5,<Rc3kmmq> MoA W5 L3,<Rc3kmmq> MoA W5 L4,<Rc3kmmq> MoA W5 L5,<Rc3kmmq> Reflection T1,<Rc3kmmq> Reflection T2,<Rc3kmmq> Reflection T3,<Rc3kmmq> Reflection T4,<Rc3kmmq> Reflection T5,<qLKSiki>,<qLKSiki> + CoT,<qLKSiki> MAD R1 S3,<qLKSiki> MAD R1 S5,<qLKSiki> MAD R1 S7,<qLKSiki> MAD R2 S3,<qLKSiki> MAD R2 S5,<qLKSiki> MAD R2 S7,<qLKSiki> MAD R3 S3,<qLKSiki> MAD R3 S5,<qLKSiki> MAD R3 S7,<qLKSiki> MoA W3 L3,<qLKSiki> MoA W3 L4,<qLKSiki> MoA W3 L5,<qLKSiki> MoA W4 L3,<qLKSiki> MoA W4 L4,<qLKSiki> MoA W4 L5,<qLKSiki> MoA W5 L3,<qLKSiki> MoA W5 L4,<qLKSiki> MoA W5 L5,<qLKSiki> Reflection T1,<qLKSiki> Reflection T2,<qLKSiki> Reflection T3,<qLKSiki> Reflection T4,<qLKSiki> Reflection T5,Mixed MoA W5 L5,Mixed-A MAD R3 S7,Mixed-A Reflection T5,Mixed-B MAD R3 S7,Mixed-B Reflection T5
BeliefQ_Dist_Second_Order_Cyclic_TokenF1,0.22,0.13,0.21,0.22,0.2,0.17,0.17,0.16,0.16,0.15,0.15,0.18,0.17,0.17,0.16,0.17,0.17,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.14,0.35,0.32,0.24,0.24,0.24,0.21,0.2,0.18,0.19,0.17,0.19,0.23,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.19,0.18,0.16,0.16,0.16,0.23,0.17,0.17,0.17,0.15
FactQ,0.3,0.21,0.28,0.28,0.28,0.22,0.22,0.21,0.2,0.2,0.19,0.2,0.19,0.19,0.2,0.19,0.19,0.2,0.19,0.19,0.23,0.2,0.19,0.18,0.17,0.51,0.4,0.31,0.31,0.31,0.26,0.27,0.26,0.26,0.22,0.22,0.29,0.28,0.28,0.29,0.28,0.28,0.3,0.28,0.28,0.25,0.23,0.22,0.24,0.23,0.28,0.23,0.19,0.22,0.19
Info_AccessQ_Binary,0.79,0.8,0.84,0.82,0.84,0.84,0.84,0.84,0.82,0.84,0.83,0.81,0.81,0.81,0.8,0.81,0.82,0.81,0.81,0.83,0.8,0.84,0.84,0.82,0.8,0.8,0.89,0.87,0.88,0.88,0.89,0.88,0.88,0.85,0.88,0.9,0.47,0.4,0.39,0.45,0.42,0.39,0.47,0.41,0.38,0.83,0.82,0.8,0.83,0.86,0.87,0.87,0.82,0.87,0.85
Info_AccessQ_List,0.32,0.28,0.34,0.36,0.3,0.24,0.21,0.28,0.16,0.18,0.2,0.24,0.22,0.2,0.18,0.19,0.14,0.17,0.2,0.18,0.38,0.38,0.32,0.27,0.31,0.13,0.32,0.23,0.27,0.26,0.26,0.29,0.31,0.27,0.36,0.36,0.26,0.2,0.22,0.24,0.2,0.21,0.23,0.21,0.2,0.28,0.22,0.24,0.24,0.26,0.29,0.21,0.28,0.29,0.28
Listener_Belief_Private_Communication,0.36,0.65,0.59,0.64,0.56,0.55,0.61,0.57,0.61,0.64,0.63,0.54,0.57,0.63,0.55,0.57,0.6,0.61,0.58,0.59,0.63,0.5,0.58,0.49,0.53,0.46,0.67,0.55,0.5,0.53,0.52,0.54,0.58,0.52,0.55,0.53,0.36,0.39,0.39,0.37,0.4,0.4,0.36,0.35,0.39,0.48,0.5,0.49,0.48,0.45,0.51,0.53,0.53,0.65,0.36
Listener_Belief_Public_Claim,0.4,0.49,0.45,0.44,0.47,0.48,0.47,0.49,0.48,0.48,0.47,0.44,0.43,0.46,0.46,0.45,0.47,0.51,0.48,0.48,0.51,0.46,0.44,0.48,0.51,0.41,0.49,0.44,0.46,0.46,0.46,0.47,0.46,0.48,0.49,0.47,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.41,0.41,0.42,0.41,0.44,0.46,0.42,0.48,0.47,0.49,0.44
Listener_Temporal_Private_Communication,0.56,0.86,0.92,0.95,0.98,0.96,0.98,0.98,0.97,0.98,0.99,0.93,0.93,0.91,0.95,0.95,0.99,0.92,0.96,0.95,0.89,0.89,0.91,0.91,0.91,0.76,0.95,0.8,0.82,0.83,0.94,0.96,0.97,0.95,0.98,0.98,0.27,0.26,0.26,0.28,0.27,0.25,0.27,0.26,0.27,0.86,0.88,0.94,0.91,0.92,0.95,1.0,0.96,0.99,0.84
Listener_Temporal_Public_Claim,0.7,0.77,0.81,0.82,0.81,0.94,0.97,0.96,0.98,0.97,0.97,0.89,0.9,0.89,0.9,0.92,0.93,0.9,0.87,0.91,0.85,0.91,0.89,0.87,0.89,0.6,0.94,0.69,0.69,0.68,0.85,0.86,0.88,0.94,0.95,0.96,0.44,0.43,0.41,0.42,0.42,0.41,0.42,0.42,0.43,0.75,0.85,0.9,0.92,0.92,0.89,0.99,0.96,0.99,0.72
Order_0,0.7,0.97,1.0,0.98,0.97,0.97,0.98,0.99,0.99,0.98,0.99,0.95,0.97,0.95,0.96,0.96,0.93,0.92,0.86,0.79,1.0,0.99,0.98,0.99,0.96,0.83,0.93,0.99,0.95,0.97,0.99,1.0,0.99,0.99,0.99,1.0,0.95,0.93,0.93,0.97,0.96,0.95,0.98,0.96,0.94,0.98,0.95,0.98,0.98,0.98,0.97,0.99,0.99,1.0,0.95
Order_1,0.34,0.47,0.55,0.52,0.53,0.58,0.53,0.51,0.51,0.53,0.55,0.56,0.57,0.55,0.58,0.5,0.55,0.54,0.5,0.41,0.46,0.48,0.52,0.49,0.47,0.3,0.39,0.44,0.43,0.43,0.45,0.45,0.48,0.47,0.45,0.45,0.39,0.39,0.4,0.41,0.38,0.38,0.37,0.41,0.38,0.45,0.43,0.42,0.46,0.49,0.48,0.52,0.48,0.51,0.45
Order_2,0.27,0.37,0.29,0.36,0.35,0.37,0.4,0.34,0.34,0.32,0.35,0.3,0.34,0.37,0.36,0.35,0.31,0.35,0.33,0.34,0.37,0.37,0.34,0.34,0.43,0.28,0.24,0.31,0.29,0.34,0.32,0.3,0.29,0.29,0.31,0.33,0.27,0.29,0.26,0.24,0.26,0.24,0.28,0.29,0.24,0.32,0.33,0.34,0.35,0.32,0.24,0.32,0.35,0.33,0.33
Order_3,0.29,0.32,0.34,0.33,0.36,0.34,0.33,0.41,0.31,0.23,0.4,0.41,0.29,0.36,0.38,0.33,0.32,0.31,0.3,0.34,0.44,0.35,0.32,0.4,0.35,0.28,0.27,0.36,0.29,0.31,0.31,0.38,0.32,0.34,0.4,0.29,0.25,0.26,0.29,0.3,0.23,0.28,0.26,0.25,0.27,0.37,0.33,0.31,0.38,0.3,0.24,0.26,0.29,0.32,0.37
Order_4,0.38,0.25,0.2,0.23,0.35,0.25,0.2,0.29,0.23,0.27,0.28,0.3,0.31,0.27,0.29,0.24,0.27,0.28,0.27,0.23,0.26,0.29,0.28,0.3,0.25,0.26,0.25,0.34,0.33,0.34,0.31,0.34,0.34,0.32,0.32,0.33,0.26,0.27,0.32,0.33,0.31,0.24,0.27,0.2,0.26,0.3,0.22,0.29,0.28,0.34,0.27,0.3,0.28,0.29,0.38
Teller_Knowledge_Container_Private_Communication,0.36,0.7,0.73,0.7,0.78,0.69,0.81,0.78,0.73,0.82,0.77,0.69,0.66,0.66,0.7,0.64,0.66,0.64,0.6,0.55,0.7,0.7,0.64,0.66,0.7,0.4,0.53,0.78,0.76,0.79,0.83,0.78,0.8,0.82,0.78,0.79,0.54,0.54,0.46,0.53,0.51,0.53,0.51,0.52,0.52,0.64,0.66,0.64,0.58,0.56,0.65,0.85,0.54,0.85,0.62
Teller_Knowledge_Container_Public_Claim,0.18,0.62,0.68,0.79,0.78,0.68,0.78,0.79,0.69,0.72,0.74,0.53,0.63,0.72,0.66,0.46,0.62,0.57,0.53,0.5,0.68,0.51,0.6,0.62,0.57,0.16,0.47,0.72,0.66,0.74,0.72,0.76,0.78,0.75,0.76,0.76,0.54,0.54,0.56,0.56,0.54,0.54,0.54,0.53,0.5,0.56,0.54,0.47,0.5,0.49,0.56,0.85,0.47,0.87,0.56
Teller_Lie_Private_Communication,0.39,0.85,0.92,0.95,0.98,0.89,0.93,0.94,0.93,0.95,0.92,0.92,0.89,0.95,0.88,0.87,0.89,0.92,0.86,0.83,0.89,0.8,0.92,0.85,0.85,0.48,0.92,0.89,0.91,0.95,0.98,0.98,0.97,0.99,0.94,0.98,0.36,0.37,0.36,0.49,0.48,0.43,0.48,0.52,0.52,0.85,0.86,0.85,0.85,0.82,0.88,0.97,0.9,0.98,0.78
Teller_Lie_Public_Claim,0.34,0.81,0.9,0.91,0.9,0.9,0.93,0.94,0.88,0.91,0.96,0.93,0.9,0.9,0.94,0.9,0.9,0.85,0.85,0.9,0.88,0.91,0.82,0.88,0.91,0.85,0.91,0.93,0.94,0.94,0.99,1.0,1.0,0.97,1.0,1.0,0.57,0.44,0.34,0.66,0.49,0.47,0.78,0.63,0.54,0.88,0.9,0.88,0.87,0.88,0.94,0.96,0.93,1.0,0.88
